# {"problem_type":"regression" }
"left daughter","right daughter","split var","split point","status","prediction","tree_idx","node_idx"
2,3,"t1",18.25,-3,1138.8010795911325,1,1
4,5,"season",2.5,-3,971.2356099218529,1,2
6,7,"t2",20.75,-3,2052.3712486106006,1,3
8,9,"t2",13.25,-3,1034.0898876404533,1,4
10,11,"is_weekend",0.5,-3,823.4543384194995,1,5
12,13,"hum",72,-3,1745.0583515682022,1,6
14,15,"t1",21.75,-3,2369.634789156631,1,7
16,17,"t1",7.25,-3,873.6765259018687,1,8
18,19,"wind_speed",15.25,-3,1243.7564245810097,1,9
20,21,"hum",85.5,-3,926.9013264315792,1,10
22,23,"hum",68.75,-3,577.4892307692351,1,11
24,25,"wind_speed",8.25,-3,2010.9614583333373,1,12
26,27,"wind_speed",19.25,-3,1123.9708029197081,1,13
28,29,"is_weekend",0.5,-3,2003.6352657004868,1,14
30,31,"is_weekend",0.5,-3,2535.4157549234196,1,15
32,33,"weather_code",3.5,-3,650.640798226168,1,16
34,35,"t2",11.25,-3,940.7955960854132,1,17
36,37,"hum",64.5,-3,1098.0994962216635,1,18
38,39,"t2",15.25,-3,1409.5255613951304,1,19
40,41,"hum",64.25,-3,1007.1189142610976,1,20
42,43,"t1",4.25,-3,685.1025974026007,1,21
44,45,"t1",5.75,-3,1002.6905829596419,1,22
46,47,"hum",82.25,-3,489.4484679665775,1,23
48,49,"weather_code",1.5,-3,1482.760683760684,1,24
50,51,"season",0.5,-3,2084.270462633456,1,25
52,53,"t1",20.25,-3,1006.4217687074831,1,26
54,55,"season",1.5,-3,1419.350427350428,1,27
56,57,"season",1.5,-3,1864.824675324678,1,28
58,59,"wind_speed",13.5,-3,2406.9716981132096,1,29
60,61,"season",1.5,-3,2368.7234678624864,1,30
62,63,"season",0.5,-3,2990.587755102045,1,31
64,65,"t2",2.25,-3,714.9491046182882,1,32
66,67,"t2",5.25,-3,416.97260273972915,1,33
68,69,"is_weekend",0.5,-3,895.0148367952559,1,34
70,71,"wind_speed",17.75,-3,1009.365000000003,1,35
72,73,"t2",13.75,-3,1759.2658662092663,1,36
74,75,"season",1.5,-3,883.8360200111206,1,37
76,77,"hum",65.25,-3,1287.7395459976133,1,38
78,79,"weather_code",2.5,-3,1490.6839171974561,1,39
80,81,"hum",53.25,-3,1229.7203791469194,1,40
82,83,"weather_code",3.5,-3,957.6519220642479,1,41
84,85,"t2",-1.25,-3,407.300366300369,1,42
86,87,"weather_code",5.5,-3,837.6981891348107,1,43
88,89,"wind_speed",12.5,-3,625.3428571428574,1,44
90,91,"t1",10.75,-3,1175.3333333333335,1,45
92,93,"t2",7.25,-3,555.2116402116435,1,46
94,95,"wind_speed",18.25,-3,416.33529411765073,1,47
96,97,"t2",19.25,-3,1311.5897435897436,1,48
98,99,"hum",48.25,-3,1825.1025641025649,1,49
0,0,NA,0,-1,2434.586206896553,1,50
0,0,NA,0,-1,2043.956349206353,1,51
0,0,NA,0,-1,961.7789855072458,1,52
0,0,NA,0,-1,1690.9444444444446,1,53
0,0,NA,0,-1,1408.6700000000003,1,54
0,0,NA,0,-1,1482.1764705882354,1,55
0,0,NA,0,-1,1904.1386861313904,1,56
0,0,NA,0,-1,1548.0000000000005,1,57
0,0,NA,0,-1,2849.151515151514,1,58
0,0,NA,0,-1,2207.0821917808216,1,59
0,0,NA,0,-1,2397.881508078998,1,60
